newspaper,length
sueddeutsche.de,3745
sueddeutsche.de,3493
sueddeutsche.de,3348
sueddeutsche.de,2905
sueddeutsche.de,4127
sueddeutsche.de,5078
sueddeutsche.de,3315
sueddeutsche.de,1598
sueddeutsche.de,4466
sueddeutsche.de,3241
sueddeutsche.de,2774
sueddeutsche.de,3486
sueddeutsche.de,3097
sueddeutsche.de,10384
sueddeutsche.de,3120
sueddeutsche.de,3886
sueddeutsche.de,5581
sueddeutsche.de,3264
sueddeutsche.de,4122
sueddeutsche.de,4090
sueddeutsche.de,2547
sueddeutsche.de,3852
sueddeutsche.de,3913
sueddeutsche.de,6114
sueddeutsche.de,3274
sueddeutsche.de,4134
sueddeutsche.de,4596
sueddeutsche.de,3150
sueddeutsche.de,2827
sueddeutsche.de,1517
sueddeutsche.de,2624
sueddeutsche.de,395
sueddeutsche.de,2861
sueddeutsche.de,3465
sueddeutsche.de,4315
sueddeutsche.de,4062
sueddeutsche.de,3117
sueddeutsche.de,2537
sueddeutsche.de,1668
sueddeutsche.de,8823
sueddeutsche.de,3971
sueddeutsche.de,3160
sueddeutsche.de,3321
sueddeutsche.de,2587
sueddeutsche.de,3379
sueddeutsche.de,5623
sueddeutsche.de,3950
sueddeutsche.de,4673
sueddeutsche.de,4084
sueddeutsche.de,1482
sueddeutsche.de,4412
sueddeutsche.de,3869
sueddeutsche.de,3824
sueddeutsche.de,4408
sueddeutsche.de,281
sueddeutsche.de,3359
sueddeutsche.de,4703
sueddeutsche.de,3677
sueddeutsche.de,4407
sueddeutsche.de,3377
sueddeutsche.de,4802
sueddeutsche.de,5261
sueddeutsche.de,3582
sueddeutsche.de,3326
sueddeutsche.de,4005
sueddeutsche.de,2583
sueddeutsche.de,6931
sueddeutsche.de,5349
sueddeutsche.de,4516
sueddeutsche.de,1543
sueddeutsche.de,3033
sueddeutsche.de,4551
sueddeutsche.de,1628
sueddeutsche.de,3933
sueddeutsche.de,3439
sueddeutsche.de,6991
sueddeutsche.de,3373
sueddeutsche.de,5390
sueddeutsche.de,2264
sueddeutsche.de,1301
sueddeutsche.de,3043
sueddeutsche.de,3308
sueddeutsche.de,4256
sueddeutsche.de,2461
sueddeutsche.de,1603
sueddeutsche.de,4604
sueddeutsche.de,3479
sueddeutsche.de,4249
sueddeutsche.de,6493
sueddeutsche.de,4456
sueddeutsche.de,5125
sueddeutsche.de,6889
sueddeutsche.de,3624
sueddeutsche.de,2069
sueddeutsche.de,2097
sueddeutsche.de,4485
sueddeutsche.de,3939
sueddeutsche.de,4146
sueddeutsche.de,8813
sueddeutsche.de,7054
sueddeutsche.de,3133
sueddeutsche.de,3147
sueddeutsche.de,1315
sueddeutsche.de,2972
sueddeutsche.de,3340
sueddeutsche.de,206
sueddeutsche.de,7388
sueddeutsche.de,273
sueddeutsche.de,7116
sueddeutsche.de,3218
sueddeutsche.de,236
sueddeutsche.de,7167
sueddeutsche.de,3377
sueddeutsche.de,2009
sueddeutsche.de,2655
sueddeutsche.de,3000
sueddeutsche.de,2270
sueddeutsche.de,3456
sueddeutsche.de,3851
sueddeutsche.de,5927
sueddeutsche.de,6766
sueddeutsche.de,7228
sueddeutsche.de,4180
sueddeutsche.de,10019
sueddeutsche.de,5141
sueddeutsche.de,4607
sueddeutsche.de,5220
sueddeutsche.de,2846
sueddeutsche.de,4360
sueddeutsche.de,3082
sueddeutsche.de,4377
sueddeutsche.de,2083
sueddeutsche.de,4090
sueddeutsche.de,5988
sueddeutsche.de,5131
sueddeutsche.de,1920
sueddeutsche.de,3826
sueddeutsche.de,2074
sueddeutsche.de,8139
sueddeutsche.de,5363
sueddeutsche.de,2450
sueddeutsche.de,2979
sueddeutsche.de,8068
sueddeutsche.de,4016
sueddeutsche.de,3690
sueddeutsche.de,4539
sueddeutsche.de,1321
sueddeutsche.de,4460
sueddeutsche.de,5032
sueddeutsche.de,2544
sueddeutsche.de,4520
sueddeutsche.de,2603
sueddeutsche.de,1566
sueddeutsche.de,9963
sueddeutsche.de,3334
sueddeutsche.de,2702
sueddeutsche.de,2496
sueddeutsche.de,4000
sueddeutsche.de,2581
sueddeutsche.de,3101
sueddeutsche.de,2894
sueddeutsche.de,193
sueddeutsche.de,5053
sueddeutsche.de,1961
sueddeutsche.de,3593
sueddeutsche.de,5887
sueddeutsche.de,732
sueddeutsche.de,11144
sueddeutsche.de,4524
sueddeutsche.de,5092
sueddeutsche.de,337
sueddeutsche.de,4059
sueddeutsche.de,7087
sueddeutsche.de,5794
sueddeutsche.de,4649
sueddeutsche.de,3101
sueddeutsche.de,2596
sueddeutsche.de,2382
sueddeutsche.de,2143
sueddeutsche.de,904
sueddeutsche.de,3785
sueddeutsche.de,2633
sueddeutsche.de,2787
sueddeutsche.de,3696
