Datum,Ende,Ort,Thema
2019-06-08,2019-06-08,Berliner Freiheit,Protest gegen den antimuslimischen Mordversuch in der Linie 1 am 31.05.2019
2019-06-08,2019-06-08,Hanseatenhof,Veganismus
2019-06-08,2019-06-08,Bahnhofsvorplatz,Internationaler Gottesdienst
2019-06-08,2019-06-08,Bahnhofsvorplatz,"Aufklärung ""Die Bibel"""
2019-06-10,2019-06-10,Bahnhofsvorplatz,Veganismus
2019-06-10,2019-06-10,Marktplatz,Für immer Weserstadion
2019-06-13,2019-06-13,Sögestraße,Gedenkkungebung für Abdurrahim Özüdogru
2019-06-13,2019-06-13,Pieperstraße/Ecker Obernstraße,Straßenzeitung
2019-06-14,2019-06-14,Am Wall 135( vor CDU Landeverband Bremen),Klimaschutz
2019-06-14,2019-06-14,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-06-14,2019-06-14,Bahnhofsvorplatz,Erhalt der Taxbranche
2019-06-14,2019-06-14,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-06-15,2019-06-15,Ulrichsplatz, Veganismus
2019-06-15,2019-06-15,Lindenstraße,Gedenkkungebung für Theodoros Boulgarides
2019-06-15,2019-06-15,"Domsheide, 28195 Bremen",Situation der politischen Gefangenen
2019-06-16,2019-06-16,Platz vor dem Goethetheater,Klimaschutz
2019-06-18,2019-06-18,Domshof Richtung Bahnhofsvorplatz,Tarifrunde Banken
2019-06-18,2019-06-18,Bgm.-Schmidt-Str/ Herdentor/ Bahnhofstr,Zusammenhang zwischen Ernähruing und Klimaschutz
2019-06-18,2019-06-18, vor dem Consul-Hackfeld:Haus,Einfach Einsteigen: fahrscheinfreier Nahverkehr für Bremen- gut ausgebaut und attraktiv
2019-06-18,2019-06-18,Marktplatz,Stahlindustrie in Btremen
2019-06-20,2019-06-20,Grasmarkt,"Mahnwache für Frieden, Versöhnung und Abrüstung"
2019-06-21,2019-06-21,Bremer Marktplatz,Klimaschutz- Fridays for Future
2019-06-21,2019-06-21,Hugo-Schauinsland-Platz ( vor dem Cinemaxx),Warnstreik bei Cinemaxx
2019-06-21,2019-06-21,Schweizer Eck in Osterholz,Gemeinsam für Frieden und Gerechtigkeit auf der Welt
2019-06-21,2019-06-21,Konsul-Hackfeld-Haus,Pflegenotstand
2019-06-21,2019-06-21,Domsheide (vor Hausnummer 8),Rüstungshochburg Bremen
2019-06-21,2019-06-21,Gerhard-Rohlfs-Str/ Breite Straße ,Friedenskundgebung
2019-06-22,2019-06-22,Grasmarkt,Flüchtlinge
2019-06-22,2019-06-22,Am Brill,Solidarisch mit Syrien
2019-06-22,2019-06-22,Am Dom,Palästinamahnwache
2019-06-22,2019-06-22,Am Dom,Palestinamahnwache
2019-06-22,2019-06-22,Marktplatz,Veganismus
2019-06-22,2019-06-22,Hugo-Schauinsland-Platz ( vor dem Cinemaxx),Warnstreik bei Cinemaxx
2019-06-24,2019-06-24,Marktplatz,Montagsdemonstration
2019-06-24,2019-06-24,Marktplatz vor dem Roland,Veganismus
2019-06-25,2019-06-25,Gerhard-Rohlfs-Straße/ Breite Straße,Wahlkundgebung der SPD
