Datum,Uhrzeit,Ort,Thema,Teilnehmer,Straße,sheet_name
05.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
06.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
09.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
10.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
11.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
12.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
13.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
16.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
17.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
18.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
19.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
20.12.2019,12:00 - 14:00,Potsdam,Aufstehen gegen Rechtspopulismus u. Klimakatastrophe,2 -30,Otto-Braun-Platz,2019
06.12.2019,13:00 - 15:30,Potsdam,Verlegung von Stolpersteinen,80,Innenstadt Potsdam (4 Standorte),2019
13.12.2019,14:00 - 16:00,Potsdam,letzter Tag der Klimakonferenz - XR - Protesttanz,10-20,Otto-Braun-Platz,2019
19.12.2019,18:00 - 20:00,Potsdam,"2. Weihnachtssingen gegen Rassismus, Haß und Gewalt…""",200,Alter Markt (Fortunaportal),2019
18.12.2019,09:00 - 12:30,Potsdam,Demo zum Waldzustandsbericht Land BB,30,Innenstadt Potsdam,2019
20.12.2019,14:00 - 15:00,Potsdam,Klimapakt der Bundesregierung,30,Otto-Braun-Platz,2019
03.10.2020,11:00 - 15:00,Potsdam,keinen öffentl. Cent für die Garnisonkirchenatrappe,1.000 - 3.000,Innenstadt Potsdam,2020
24.01.2020,14:00 - 20:00,Potsdam,stille Mahnwache gegen Altersarmut,20,Luisenplatz,2020
06.01.2020,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2020
13.01.2020,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2020
20.01.2020,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2020
27.01.2020,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2020
03.02.2020,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,10,Steubenplatz,2020
10.02.2020,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz,2020
