Datum,Beginn,Ende,Thema,Ort,Aufzug,Teilnehmer,Absage,sheet_name
2021-06-05 00:00:00,,,Mehr Achtsamkeit für die Gesundheit,Friedrichsplatz,x,200,x,2021
2021-06-03 00:00:00,,,Querdenken 721,Messplatz bis Günther-Klotz-Anlage,x,1500,,2021
2021-04-24 00:00:00,,,Kunstaktion gegen die geplante Urheberrechtsreform,Bundesverfassungsgericht,,5,,2021
2021-05-01 00:00:00,,,Mit Mut und Solidarität - als Klasse kämpfen - für eine Zukunft ohne Krisen!,Schlossplatz bis Festplatz,x,200,,2021
2021-05-15 00:00:00,14:00:00,17:00:00,150 Jahre § 218 - Es reicht!,Marktplatz,,200,,2021
2021-07-05 00:00:00,,,Mahnwache: 12 Jahre Massaker von Urumqi,Marktplatz,,30,,2021
2021-04-25 00:00:00,,,Freiheit-Religion,Schlossplatz,,25,,2021
2021-05-22 00:00:00,14:00:00,18:00:00,Hoffnung durch Musik,Wiese der Albkapelle in Grünwinkel,,100,,2021
2021-05-02 00:00:00,,,Mahnmal zum Tag der Lebensmittelverschwendung - Initiative Foodsharing Karlsruhe,Marktplatz,,10,,2021
2021-05-03 00:00:00,,,"Solidarität mit Kolleg*innen aus der Gebäudereinigung in Houston, Texas",gegenüber Durlacher Allee 109,,15,,2021
2021-05-09 00:00:00,,,"Situation von Flüchtlingen in Europa und Lybien, Ausstellung von Bildern aus den Lagern",Marktplatz,,?,,2021
2021-04-29 00:00:00,,,Maskenfreier Appell: Unser deutsches Bundesverfassungsgericht muss unsere Grundrechte schützen. Stoppt Folter und Menschenrechtsverletzungen!,Bundesverfassungsgericht,,50,,2021
2021-05-08 00:00:00,,,Müll sammeln + Aufmerksamkeit für die Partei Volt,Stephansplatz bis Schlosspark,x,10,,2021
2021-04-28 00:00:00,,,Mahnwache für eine offene und freie Debattenkultur - Verbindung statt Spaltung,Marktplatz,,10,,2021
2021-05-08 00:00:00,,,Sofortige Evakuierung aller Flüchtlinge aus den Flüchtlingslagern an den Außengrenzen der EU und Aufnahme der Flüchtlinge / 8.5.2021 - Jahrestag der Befreiung vom Faschismus,Schlossplatz,,50,,2021
2021-05-16 00:00:00,17:00:00,20:00:00,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,"Park ""Alter Friedhof""/Nottingham Anlage",,80,,2021
2021-05-02 00:00:00,,,Freiheit-Religion,Schlossplatz,,25,,2021
2021-05-09 00:00:00,,,ZeroCovid,Schlossplatz,,60,,2021
2021-05-01 00:00:00,,,Arbeitsrecht und gegenseitige Hilfe,Schlossplatz,,15,,2021
2021-05-01 00:00:00,,,Solidarität ist Zukunft,Stephanplatz/Marktplatz/Friedrichsplatz/Kronenplatz,,400,,2021
2021-05-15 00:00:00,14:00:00,17:00:00,Global Marijuana March,Schlossplatz,,50,,2021
2021-05-03 00:00:00,,,Montagsdemo gegen Hartz IV und Sozialabbau + Konsequenter Gesundheitsschutz: JA! Abwälzung der Krisenlasten auf die Bevölkerung und Abbau demokratischer Rechte und Freiheiten: NEIN!,Marktplatz,,50,,2021
2021-05-04 00:00:00,,,Satzung Hauptausschuss zu Flughafen Karlsruhe/Baden,Marktplatz,,20,,2021
2021-05-06 00:00:00,,,"Maskenfreier Appell: Unser deutsches Bundesverfassungsgericht muss unsere Grundrechte schützen! Stoppt Folter und Menschenrechtsverletzungen! Dies kann nur mit integeren, unbestechlichen Richtern gelingen. ",,,50,,2021
2021-05-06 00:00:00,,,Freiheit Religion,Marktplatz,,40,,2021
2021-05-09 00:00:00,,,Freiheit Religion,Schlossplatz,,25,,2021
2021-05-05 00:00:00,,,Mahnwache für eine offene und freie Debattenkultur - Verbindung statt Spaltung,Marktplatz,,10,,2021
2021-05-14 00:00:00,12:00:00,17:00:00,Kundgebung von Fridays for Future bzgl. der Investionsstrategie der Commerzbank,Marktplatz,,30,,2021
2021-05-15 00:00:00,10:00:00,17:00:00,150 Jahre §218 sind genug,Platz der Grundrechte,,5,,2021
2021-05-07 00:00:00,,,Wir bestehen auf die ersten 20 Artikel unserer Verfassung,Marktplatz,,120,,2021
2021-06-17 00:00:00,,,"Außenpolitik, Friedenspolitik, Waffenexporte, Menschenrechte",Friedrichsplatz,,200,,2021
2021-05-10 00:00:00,,,Aktuelle Situation in Kolumbien,Marktplatz/Schlossplatz,,25,,2021
2021-05-15 00:00:00,10:00:00,20:00:00,Billigfleisch Mahnwache,Ludwig-Erhard-Allee/Rüppurrer Straße,,2,,2021
2021-05-28 00:00:00,,,Politische Kundgebung von Herrn Todenhöfer,Messplatz,,1000,x,2021
2021-05-16 00:00:00,13:00:00,17:00:00,Freiheit-Religion,Schlossplatz,,25,,2021
2021-05-12 00:00:00,,,12. Mai Internationaler Tag der Pflegenden,"Haus A, Städtisches Klinikum",,20,,2021
2021-05-14 00:00:00,17:30:00,19:30:00,Wider den Faschismus,Marktplatz,,120,,2021
2021-05-12 00:00:00,,,Für eine offene und freie Debattenkultur - Verbindung statt Spaltung,Marktplatz,,10,,2021
2021-05-13 00:00:00,,,Menschenrechte in Belarus,Bundesverfassungsgericht,,10,x,2021
2021-05-15 00:00:00,15:00:00,18:00:00,Proteste wegen drohender Zwangsräumungen im Ostjerusalemner Stadtteil Scheich Dscharrah,Stephanplatz,,50,,2021
2021-05-15 00:00:00,17:15:00,19:00:00,Palästinensche Situation in Jerusalem,Marktplatz,,150,,2021
2021-05-12 00:00:00,,,Fridays for Future,Marktplatz bis BVerfG,x,50,,2021
2021-05-15 00:00:00,15:00:00,18:00:00,Öffentlichkeit schaffen für den Völkermord an den Tamilen / Menschenrechtslage auf Sri Lanka,Friedrichsplatz,,10,,2021
2021-05-16 00:00:00,16:00:00,21:00:00,Gran Marcha Por Colombia - Kundgebung gegen die Gewalt der kolumbianischen Regierung gegenüber der Zivilbevölkerung,Schlossplatz,,120,,2021
2021-06-03 00:00:00,12:00:00,18:00:00,Kein Platz für Querdenken,mehrere Örtlichkeiten,,150,,2021
2021-05-18 00:00:00,14.30,18:30:00,Landverlust des Biolandhofes Schleinkofer,Festplatz Gartenhalle ,,20,,2021
2021-05-20 00:00:00,18:00:00,19:00:00,"Maskenfreier Appell: Unser deutsches Bundesverfassungsgericht muss unsere Menschenrechte und unsere freiheitlich, demokratische Grundordnung schützen! Eine faktische Aufhebung der Gewaltenteilung von Exekutive, Legislative und Judikative ist nicht zulässig! Stoptt Folter udn Menschenrechtsverletzugnen!",Bundesverfassungsgericht,,50,,2021
2021-07-11 00:00:00,16:30:00,18:00:00,Mahnwache und Demonstration zum Gedenken an den Völkermord von Srebrenica,Platz der Grundrechte,x,100,,2021
2021-06-18 00:00:00,09:30:00,13:00:00,Artenschutz geht uns Alle an!,Marktplatz,,80,x,2021
2021-05-30 00:00:00,17:00:00,20:00:00,Bewegungsmeditation für den inneren und äußeren frieden und gegen die Erstarrung der Herzen,"Park ""Alter Friedhof""",,80,,2021
2021-06-03 00:00:00,12:00:00,19:00:00,Wissen statt Angst,Schlossplatz (Karl-Friedrich-Denkmal),,300,,2021
2021-05-29 00:00:00,12:00:00,18:00:00,Kunstaktion gegen die Umsetzung der Urheberrechtsreform,Bundesverfassungsgericht,,5,,2021
2021-06-03 00:00:00,10:45:00,15:15:00,Popup-Bikelane,Fritz-Erler-Straße,,20,,2021
2021-05-23 00:00:00,13:00:00,17:00:00,Freiheit-Religion,Schlossplatz,,25,,2021
2021-05-19 00:00:00,17:00:00,19:00:00,"Mahnwache ""Für eine offene und freie Debattenkultur - Verbindung statt Spaltung""",Marktplatz,,10,,2021
2021-05-29 00:00:00,10:00:00,,Klimacamp für Gerechtigkeit,Schlossplatz,,15,,2021
2021-05-22 00:00:00,17:00:00,19:00:00,Dass der Krieg im Gaza-Streifen endet,Schlossplatz,,100,x,2021
