Datum,Beginn,Ende,Ort,Veranstalter,Thema,Teilnehmer
6/28/19,13:30,15:00,"Mauritiusplatz, 65183 Wiesbaden, bis Murnaustraße 1, 65189 Wiesbaden",Amt für Soziale Arbeit Wiesbaden,unite against racism,--
7/3/19,14:30,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
7/11/19,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
7/13/19,11:30,15:30,"Langgasse / Ecke Schützenhofstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,--
7/13/19,15:30,18:30,"Mauritiusplatz, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
7/17/19,12:00,16:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
7/25/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
8/1/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
8/3/19,16:00,19:00,"Mauritiusplatz, 65183 Wiesbaden",Anonymous for the Voiceless,Tierrechte / Veganismus,--
8/7/19,14:00,18:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
8/8/19,18:00,19:30,"Bahnhofsplatz, 65185 Wiesbaden",Fridays for Future Wiesbaden,Veröffentlichung des IPCC-Sonderberichts,--
8/10/19,12:00,16:00,"Langgasse / Ecke Schützenhofstraße, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierrecht / gegen Massentierhaltung,--
8/15/19,11:00,15:00,"Kirchgasse / Langgasse, 65183 Wiesbaden",Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,--
8/16/19,12:00,14:00,"Bahnhofsplatz, 65185 Wiesbaden, bis Luisenplatz, 65185 Wiesbaden",FFF Wiesbaden,Fridays for Future,--
